region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
Italy,Historical,EV sales,Cars,BEV,2018,Vehicles,5000,Other
China,Historical,EV sales,Cars,BEV,2011,Vehicles,4800,Other
Switzerland,Historical,EV sales,Cars,BEV,2017,Vehicles,4800,Other
Rest of the world,Historical,EV sales,Cars,BEV,2017,Vehicles,4700,Other
Korea,Historical,EV sales,Cars,BEV,2016,Vehicles,4700,Other
Hungary,Historical,EV sales,Cars,BEV,2022,Vehicles,4700,Other
Russia,Historical,EV sales,Cars,BEV,2024,Vehicles,4600,Other
Luxembourg,Historical,EV sales,Cars,BEV,2021,Vehicles,4600,Other
Chile,Historical,EV sales,Cars,BEV,2024,Vehicles,4500,Other
Canada,Historical,EV sales,Cars,BEV,2015,Vehicles,4400,Other
Mexico,Historical,EV sales,Cars,BEV,2022,Vehicles,4400,Other
New Zealand,Historical,EV sales,Cars,BEV,2018,Vehicles,4400,Other
Sweden,Historical,EV sales,Cars,BEV,2017,Vehicles,4400,Other
Denmark,Historical,EV sales,Cars,BEV,2015,Vehicles,4300,Other
Portugal,Historical,EV sales,Cars,BEV,2018,Vehicles,4300,Other
Hungary,Historical,EV sales,Cars,BEV,2021,Vehicles,4300,Other
Slovenia,Historical,EV sales,Cars,BEV,2023,Vehicles,4300,Other
Finland,Historical,EV sales,Cars,BEV,2020,Vehicles,4200,Other
Iceland,Historical,EV sales,Cars,BEV,2021,Vehicles,4200,Other
Netherlands,Historical,EV sales,Cars,BEV,2016,Vehicles,4000,Other
Ireland,Historical,EV sales,Cars,BEV,2020,Vehicles,4000,Other
New Zealand,Historical,EV sales,Cars,BEV,2020,Vehicles,3900,Other
Norway,Historical,EV sales,Cars,BEV,2012,Vehicles,3900,Other
Spain,Historical,EV sales,Cars,BEV,2017,Vehicles,3900,Other
Czech Republic,Historical,EV sales,Cars,BEV,2022,Vehicles,3900,Other
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800,Other
Poland,Historical,EV sales,Cars,BEV,2020,Vehicles,3700,Other
Belgium,Historical,EV sales,Cars,BEV,2018,Vehicles,3600,Other
Colombia,Historical,EV sales,Cars,BEV,2023,Vehicles,3600,Other
Netherlands,Historical,EV sales,Cars,BEV,2015,Vehicles,3400,Other
Ireland,Historical,EV sales,Cars,BEV,2019,Vehicles,3400,Other
Switzerland,Historical,EV sales,Cars,BEV,2015,Vehicles,3300,Other
Switzerland,Historical,EV sales,Cars,BEV,2016,Vehicles,3300,Other
Czech Republic,Historical,EV sales,Cars,BEV,2020,Vehicles,3300,Other
India,Historical,EV sales,Cars,BEV,2020,Vehicles,3100,Other
Korea,Historical,EV sales,Cars,BEV,2015,Vehicles,3100,Other
Slovenia,Historical,EV sales,Cars,BEV,2024,Vehicles,3100,Other
Mexico,Historical,EV sales,Cars,BEV,2021,Vehicles,3000,Other
Sweden,Historical,EV sales,Cars,BEV,2015,Vehicles,3000,Other
Turkiye,Historical,EV sales,Cars,BEV,2021,Vehicles,3000,Other
Hungary,Historical,EV sales,Cars,BEV,2020,Vehicles,3000,Other
Brazil,Historical,EV sales,Cars,BEV,2021,Vehicles,2900,Other
New Zealand,Historical,EV sales,Cars,BEV,2017,Vehicles,2900,Other
Sweden,Historical,EV sales,Cars,BEV,2016,Vehicles,2900,Other
Canada,Historical,EV sales,Cars,BEV,2014,Vehicles,2800,Other
Greece,Historical,EV sales,Cars,BEV,2022,Vehicles,2800,Other
Romania,Historical,EV sales,Cars,BEV,2020,Vehicles,2800,Other
Belgium,Historical,EV sales,Cars,BEV,2017,Vehicles,2700,Other
Iceland,Historical,EV sales,Cars,BEV,2024,Vehicles,2700,Other
Netherlands,Historical,EV sales,Cars,BEV,2014,Vehicles,2700,Other
Switzerland,Historical,EV sales,Cars,BEV,2014,Vehicles,2700,Other
Czech Republic,Historical,EV sales,Cars,BEV,2021,Vehicles,2700,Other
Costa Rica,Historical,EV sales,Cars,BEV,2022,Vehicles,2600,Other
France,Historical,EV sales,Cars,BEV,2011,Vehicles,2600,Other
Netherlands,Historical,EV sales,Cars,BEV,2013,Vehicles,2600,Other
United Kingdom,Historical,EV sales,Cars,BEV,2013,Vehicles,2600,Other
Iceland,Historical,EV sales,Cars,BEV,2020,Vehicles,2500,Other
Luxembourg,Historical,EV sales,Cars,BEV,2020,Vehicles,2500,Other
Central and South America,Historical,EV sales,Cars,BEV,2020,Vehicles,2400,Other
Japan,Historical,EV sales,Cars,BEV,2010,Vehicles,2400,Other
Slovakia,Historical,EV sales,Cars,BEV,2023,Vehicles,2300,Other
Slovenia,Historical,EV sales,Cars,BEV,2022,Vehicles,2300,Other
Germany,Historical,EV sales,Cars,BEV,2012,Vehicles,2200,Other
Greece,Historical,EV sales,Cars,BEV,2021,Vehicles,2200,Other
Slovakia,Historical,EV sales,Cars,BEV,2024,Vehicles,2200,Other
Belgium,Historical,EV sales,Cars,BEV,2016,Vehicles,2100,Other
Lithuania,Historical,EV sales,Cars,BEV,2023,Vehicles,2100,Other
Central and South America,Historical,EV sales,Cars,BEV,2019,Vehicles,2000,Other
Italy,Historical,EV sales,Cars,BEV,2017,Vehicles,2000,Other
Norway,Historical,EV sales,Cars,BEV,2011,Vehicles,2000,Other
Spain,Historical,EV sales,Cars,BEV,2016,Vehicles,2000,Other
Colombia,Historical,EV sales,Cars,BEV,2022,Vehicles,1900,Other
Finland,Historical,EV sales,Cars,BEV,2019,Vehicles,1900,Other
Portugal,Historical,EV sales,Cars,BEV,2017,Vehicles,1900,Other
Russia,Historical,EV sales,Cars,BEV,2023,Vehicles,1900,Other
Thailand,Historical,EV sales,Cars,BEV,2021,Vehicles,1900,Other
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800,Other
Mexico,Historical,EV sales,Cars,BEV,2020,Vehicles,1800,Other
Rest of the world,Historical,EV sales,Cars,BEV,2016,Vehicles,1800,Other
Bulgaria,Historical,EV sales,Cars,BEV,2023,Vehicles,1800,Other
Croatia,Historical,EV sales,Cars,BEV,2024,Vehicles,1800,Other
Hungary,Historical,EV sales,Cars,BEV,2019,Vehicles,1800,Other
Lithuania,Historical,EV sales,Cars,BEV,2024,Vehicles,1800,Other
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700,Other
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700,Other
Bulgaria,Historical,EV sales,Cars,BEV,2024,Vehicles,1700,Other
Latvia,Historical,EV sales,Cars,BEV,2023,Vehicles,1700,Other
Slovenia,Historical,EV sales,Cars,BEV,2021,Vehicles,1700,Other
Canada,Historical,EV sales,Cars,BEV,2013,Vehicles,1600,Other
Chile,Historical,EV sales,Cars,BEV,2023,Vehicles,1600,Other
Denmark,Historical,EV sales,Cars,BEV,2014,Vehicles,1600,Other
Rest of the world,Historical,EV sales,Cars,BEV,2015,Vehicles,1600,Other
United Kingdom,Historical,EV sales,Cars,BEV,2012,Vehicles,1600,Other
Croatia,Historical,EV sales,Cars,BEV,2023,Vehicles,1600,Other
Slovenia,Historical,EV sales,Cars,BEV,2020,Vehicles,1600,Other
Denmark,Historical,EV sales,Cars,BEV,2018,Vehicles,1500,Other
Israel,Historical,EV sales,Cars,BEV,2020,Vehicles,1500,Other
Italy,Historical,EV sales,Cars,BEV,2015,Vehicles,1500,Other
Poland,Historical,EV sales,Cars,BEV,2019,Vehicles,1500,Other
Romania,Historical,EV sales,Cars,BEV,2019,Vehicles,1500,Other
Belgium,Historical,EV sales,Cars,BEV,2015,Vehicles,1400,Other
Germany,Historical,EV sales,Cars,BEV,2011,Vehicles,1400,Other
India,Historical,EV sales,Cars,BEV,2011,Vehicles,1400,Other
Italy,Historical,EV sales,Cars,BEV,2016,Vehicles,1400,Other
Spain,Historical,EV sales,Cars,BEV,2014,Vehicles,1400,Other
Croatia,Historical,EV sales,Cars,BEV,2021,Vehicles,1400,Other
Croatia,Historical,EV sales,Cars,BEV,2022,Vehicles,1400,Other
Estonia,Historical,EV sales,Cars,BEV,2023,Vehicles,1400,Other
Lithuania,Historical,EV sales,Cars,BEV,2022,Vehicles,1400,Other
Slovakia,Historical,EV sales,Cars,BEV,2022,Vehicles,1400,Other
Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,1300,Other
Chile,Historical,EV sales,Cars,BEV,2022,Vehicles,1300,Other
Denmark,Historical,EV sales,Cars,BEV,2016,Vehicles,1300,Other
Malaysia,Historical,EV sales,Cars,BEV,2022,Vehicles,1300,Other
Rest of the world,Historical,EV sales,Cars,BEV,2014,Vehicles,1300,Other
Russia,Historical,EV sales,Cars,BEV,2021,Vehicles,1300,Other
Korea,Historical,EV sales,Cars,BEV,2014,Vehicles,1300,Other
Spain,Historical,EV sales,Cars,BEV,2015,Vehicles,1300,Other
Thailand,Historical,EV sales,Cars,BEV,2020,Vehicles,1300,Other
Estonia,Historical,EV sales,Cars,BEV,2024,Vehicles,1300,Other
Hungary,Historical,EV sales,Cars,BEV,2018,Vehicles,1300,Other
Latvia,Historical,EV sales,Cars,BEV,2024,Vehicles,1300,Other
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200,Other
New Zealand,Historical,EV sales,Cars,BEV,2016,Vehicles,1200,Other
Rest of the world,Historical,EV sales,Cars,BEV,2012,Vehicles,1200,Other
South Africa,Historical,EV sales,Cars,BEV,2024,Vehicles,1200,Other
Sweden,Historical,EV sales,Cars,BEV,2014,Vehicles,1200,Other
Switzerland,Historical,EV sales,Cars,BEV,2013,Vehicles,1200,Other
USA,Historical,EV sales,Cars,BEV,2010,Vehicles,1200,Other
United Kingdom,Historical,EV sales,Cars,BEV,2011,Vehicles,1200,Other
Cyprus,Historical,EV sales,Cars,BEV,2024,Vehicles,1200,Other
Ireland,Historical,EV sales,Cars,BEV,2018,Vehicles,1200,Other
