region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
Japan,Historical,EV sales,Cars,PHEV,2022,Vehicles,38000,Other
Norway,Historical,EV sales,Cars,PHEV,2021,Vehicles,38000,Other
Central and South America,Historical,EV sales,Cars,PHEV,2023,Vehicles,37000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2019,Vehicles,37000,Other
Japan,Historical,EV sales,Cars,PHEV,2017,Vehicles,36000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2017,Vehicles,35000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2022,Vehicles,34000,Other
Brazil,Historical,EV sales,Cars,PHEV,2023,Vehicles,33000,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2022,Vehicles,33000,Other
Belgium,Historical,EV sales,Cars,PHEV,2020,Vehicles,32000,Other
Germany,Historical,EV sales,Cars,PHEV,2018,Vehicles,31000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2021,Vehicles,31000,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2021,Vehicles,31000,Other
Germany,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000,Other
Norway,Historical,EV sales,Cars,PHEV,2017,Vehicles,29000,Other
Norway,Historical,EV sales,Cars,PHEV,2020,Vehicles,29000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2016,Vehicles,29000,Other
Canada,Historical,EV sales,Cars,PHEV,2021,Vehicles,28000,Other
Portugal,Historical,EV sales,Cars,PHEV,2024,Vehicles,28000,Other
Russia,Historical,EV sales,Cars,PHEV,2024,Vehicles,28000,Other
Italy,Historical,EV sales,Cars,PHEV,2020,Vehicles,27000,Other
Norway,Historical,EV sales,Cars,PHEV,2018,Vehicles,27000,Other
Portugal,Historical,EV sales,Cars,PHEV,2023,Vehicles,27000,Other
Denmark,Historical,EV sales,Cars,PHEV,2022,Vehicles,26000,Other
Sweden,Historical,EV sales,Cars,PHEV,2019,Vehicles,25000,Other
Canada,Historical,EV sales,Cars,PHEV,2022,Vehicles,24000,Other
China,Historical,EV sales,Cars,PHEV,2014,Vehicles,24000,Other
Spain,Historical,EV sales,Cars,PHEV,2020,Vehicles,24000,Other
Japan,Historical,EV sales,Cars,PHEV,2018,Vehicles,23000,Other
Japan,Historical,EV sales,Cars,PHEV,2021,Vehicles,23000,Other
Switzerland,Historical,EV sales,Cars,PHEV,2023,Vehicles,23000,Other
Sweden,Historical,EV sales,Cars,PHEV,2018,Vehicles,22000,Other
Switzerland,Historical,EV sales,Cars,PHEV,2021,Vehicles,22000,Other
Australia,Historical,EV sales,Cars,PHEV,2024,Vehicles,21000,Other
Canada,Historical,EV sales,Cars,PHEV,2018,Vehicles,21000,Other
Norway,Historical,EV sales,Cars,PHEV,2016,Vehicles,21000,Other
Switzerland,Historical,EV sales,Cars,PHEV,2024,Vehicles,21000,Other
Finland,Historical,EV sales,Cars,PHEV,2021,Vehicles,20000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2013,Vehicles,20000,Other
Canada,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000,Other
France,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000,Other
Norway,Historical,EV sales,Cars,PHEV,2019,Vehicles,19000,Other
Korea,Historical,EV sales,Cars,PHEV,2021,Vehicles,19000,Other
Switzerland,Historical,EV sales,Cars,PHEV,2022,Vehicles,19000,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2015,Vehicles,19000,Other
Denmark,Historical,EV sales,Cars,PHEV,2020,Vehicles,18000,Other
Finland,Historical,EV sales,Cars,PHEV,2023,Vehicles,18000,Other
Japan,Historical,EV sales,Cars,PHEV,2019,Vehicles,18000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2017,Vehicles,18000,Other
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000,Other
Austria,Historical,EV sales,Cars,PHEV,2024,Vehicles,17000,Other
Denmark,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000,Other
Uzbekistan,Historical,EV sales,Cars,PHEV,2024,Vehicles,17000,Other
Finland,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000,Other
Israel,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000,Other
Israel,Historical,EV sales,Cars,PHEV,2023,Vehicles,16000,Other
Japan,Historical,EV sales,Cars,PHEV,2014,Vehicles,16000,Other
Norway,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000,Other
Portugal,Historical,EV sales,Cars,PHEV,2021,Vehicles,16000,Other
Portugal,Historical,EV sales,Cars,PHEV,2022,Vehicles,16000,Other
Sweden,Historical,EV sales,Cars,PHEV,2017,Vehicles,16000,Other
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000,Other
Finland,Historical,EV sales,Cars,PHEV,2024,Vehicles,15000,Other
France,Historical,EV sales,Cars,PHEV,2018,Vehicles,15000,Other
Japan,Historical,EV sales,Cars,PHEV,2020,Vehicles,15000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2020,Vehicles,15000,Other
Poland,Historical,EV sales,Cars,PHEV,2024,Vehicles,15000,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2020,Vehicles,15000,Other
Canada,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000,Other
Central and South America,Historical,EV sales,Cars,PHEV,2021,Vehicles,14000,Other
Central and South America,Historical,EV sales,Cars,PHEV,2022,Vehicles,14000,Other
Japan,Historical,EV sales,Cars,PHEV,2013,Vehicles,14000,Other
Japan,Historical,EV sales,Cars,PHEV,2015,Vehicles,14000,Other
Switzerland,Historical,EV sales,Cars,PHEV,2020,Vehicles,14000,Other
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000,Other
Finland,Historical,EV sales,Cars,PHEV,2020,Vehicles,13000,Other
Germany,Historical,EV sales,Cars,PHEV,2016,Vehicles,13000,Other
Israel,Historical,EV sales,Cars,PHEV,2021,Vehicles,13000,Other
Poland,Historical,EV sales,Cars,PHEV,2023,Vehicles,13000,Other
Ireland,Historical,EV sales,Cars,PHEV,2024,Vehicles,13000,Other
Belgium,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000,Other
France,Historical,EV sales,Cars,PHEV,2017,Vehicles,12000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2014,Vehicles,12000,Other
Netherlands,Historical,EV sales,Cars,PHEV,2015,Vehicles,12000,Other
Portugal,Historical,EV sales,Cars,PHEV,2020,Vehicles,12000,Other
Korea,Historical,EV sales,Cars,PHEV,2023,Vehicles,12000,Other
Thailand,Historical,EV sales,Cars,PHEV,2023,Vehicles,12000,Other
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000,Other
Brazil,Historical,EV sales,Cars,PHEV,2021,Vehicles,11000,Other
Germany,Historical,EV sales,Cars,PHEV,2015,Vehicles,11000,Other
Japan,Historical,EV sales,Cars,PHEV,2012,Vehicles,11000,Other
Poland,Historical,EV sales,Cars,PHEV,2022,Vehicles,11000,Other
Korea,Historical,EV sales,Cars,PHEV,2022,Vehicles,11000,Other
Thailand,Historical,EV sales,Cars,PHEV,2022,Vehicles,11000,Other
Brazil,Historical,EV sales,Cars,PHEV,2022,Vehicles,10000,Other
Greece,Historical,EV sales,Cars,PHEV,2023,Vehicles,10000,Other
Norway,Historical,EV sales,Cars,PHEV,2023,Vehicles,10000,Other
Sweden,Historical,EV sales,Cars,PHEV,2016,Vehicles,10000,Other
Ireland,Historical,EV sales,Cars,PHEV,2023,Vehicles,10000,Other
Belgium,Historical,EV sales,Cars,PHEV,2018,Vehicles,9600,Other
Thailand,Historical,EV sales,Cars,PHEV,2019,Vehicles,9600,Other
Japan,Historical,EV sales,Cars,PHEV,2016,Vehicles,9400,Other
Thailand,Historical,EV sales,Cars,PHEV,2024,Vehicles,9400,Other
New Zealand,Historical,EV sales,Cars,PHEV,2022,Vehicles,9200,Other
Uzbekistan,Historical,EV sales,Cars,PHEV,2023,Vehicles,9200,Other
Poland,Historical,EV sales,Cars,PHEV,2021,Vehicles,9100,Other
New Zealand,Historical,EV sales,Cars,PHEV,2023,Vehicles,9000,Other
Belgium,Historical,EV sales,Cars,PHEV,2019,Vehicles,8900,Other
Korea,Historical,EV sales,Cars,PHEV,2020,Vehicles,8700,Other
Thailand,Historical,EV sales,Cars,PHEV,2018,Vehicles,8500,Other
Greece,Historical,EV sales,Cars,PHEV,2024,Vehicles,8300,Other
Malaysia,Historical,EV sales,Cars,PHEV,2017,Vehicles,8100,Other
Canada,Historical,EV sales,Cars,PHEV,2017,Vehicles,8000,Other
Malaysia,Historical,EV sales,Cars,PHEV,2018,Vehicles,8000,Other
USA,Historical,EV sales,Cars,PHEV,2011,Vehicles,8000,Other
Norway,Historical,EV sales,Cars,PHEV,2015,Vehicles,7900,Other
Korea,Historical,EV sales,Cars,PHEV,2024,Vehicles,7900,Other
Ireland,Historical,EV sales,Cars,PHEV,2021,Vehicles,7900,Other
Thailand,Historical,EV sales,Cars,PHEV,2020,Vehicles,7800,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2014,Vehicles,7800,Other
Ireland,Historical,EV sales,Cars,PHEV,2022,Vehicles,7700,Other
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600,Other
France,Historical,EV sales,Cars,PHEV,2016,Vehicles,7600,Other
Israel,Historical,EV sales,Cars,PHEV,2024,Vehicles,7400,Other
Spain,Historical,EV sales,Cars,PHEV,2019,Vehicles,7400,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2019,Vehicles,7200,Other
Belgium,Historical,EV sales,Cars,PHEV,2016,Vehicles,7100,Other
Denmark,Historical,EV sales,Cars,PHEV,2024,Vehicles,7100,Other
Mexico,Historical,EV sales,Cars,PHEV,2024,Vehicles,7100,Other
Thailand,Historical,EV sales,Cars,PHEV,2021,Vehicles,7100,Other
Turkiye,Historical,EV sales,Cars,PHEV,2024,Vehicles,6700,Other
Italy,Historical,EV sales,Cars,PHEV,2019,Vehicles,6500,Other
Canada,Historical,EV sales,Cars,PHEV,2016,Vehicles,6400,Other
Finland,Historical,EV sales,Cars,PHEV,2019,Vehicles,6000,Other
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900,Other
France,Historical,EV sales,Cars,PHEV,2015,Vehicles,5800,Other
Portugal,Historical,EV sales,Cars,PHEV,2019,Vehicles,5800,Other
Sweden,Historical,EV sales,Cars,PHEV,2015,Vehicles,5700,Other
Hungary,Historical,EV sales,Cars,PHEV,2024,Vehicles,5700,Other
Spain,Historical,EV sales,Cars,PHEV,2018,Vehicles,5600,Other
Greece,Historical,EV sales,Cars,PHEV,2022,Vehicles,5500,Other
Netherlands,Historical,EV sales,Cars,PHEV,2019,Vehicles,5500,Other
Hungary,Historical,EV sales,Cars,PHEV,2023,Vehicles,5500,Other
Israel,Historical,EV sales,Cars,PHEV,2020,Vehicles,5400,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2023,Vehicles,5300,Other
Iceland,Historical,EV sales,Cars,PHEV,2022,Vehicles,5100,Other
Finland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4900,Other
Iceland,Historical,EV sales,Cars,PHEV,2021,Vehicles,4900,Other
Hungary,Historical,EV sales,Cars,PHEV,2022,Vehicles,4900,Other
Greece,Historical,EV sales,Cars,PHEV,2021,Vehicles,4800,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2024,Vehicles,4800,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2023,Vehicles,4800,Other
Italy,Historical,EV sales,Cars,PHEV,2018,Vehicles,4700,Other
Poland,Historical,EV sales,Cars,PHEV,2020,Vehicles,4500,Other
Germany,Historical,EV sales,Cars,PHEV,2014,Vehicles,4400,Other
Korea,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400,Other
Switzerland,Historical,EV sales,Cars,PHEV,2018,Vehicles,4400,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2021,Vehicles,4400,Other
Netherlands,Historical,EV sales,Cars,PHEV,2012,Vehicles,4300,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2018,Vehicles,4300,Other
Switzerland,Historical,EV sales,Cars,PHEV,2019,Vehicles,4300,Other
Hungary,Historical,EV sales,Cars,PHEV,2021,Vehicles,4200,Other
Mexico,Historical,EV sales,Cars,PHEV,2022,Vehicles,4000,Other
Denmark,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900,Other
Israel,Historical,EV sales,Cars,PHEV,2019,Vehicles,3900,Other
Portugal,Historical,EV sales,Cars,PHEV,2018,Vehicles,3900,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2022,Vehicles,3800,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2024,Vehicles,3800,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2021,Vehicles,3700,Other
Israel,Historical,EV sales,Cars,PHEV,2018,Vehicles,3600,Other
Netherlands,Historical,EV sales,Cars,PHEV,2018,Vehicles,3600,Other
Switzerland,Historical,EV sales,Cars,PHEV,2017,Vehicles,3600,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2022,Vehicles,3600,Other
Mexico,Historical,EV sales,Cars,PHEV,2021,Vehicles,3500,Other
New Zealand,Historical,EV sales,Cars,PHEV,2021,Vehicles,3500,Other
Norway,Historical,EV sales,Cars,PHEV,2024,Vehicles,3500,Other
Spain,Historical,EV sales,Cars,PHEV,2017,Vehicles,3500,Other
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400,Other
New Zealand,Historical,EV sales,Cars,PHEV,2024,Vehicles,3400,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2017,Vehicles,3400,Other
Sweden,Historical,EV sales,Cars,PHEV,2014,Vehicles,3400,Other
Denmark,Historical,EV sales,Cars,PHEV,2018,Vehicles,3100,Other
Hungary,Historical,EV sales,Cars,PHEV,2020,Vehicles,3000,Other
Slovakia,Historical,EV sales,Cars,PHEV,2023,Vehicles,3000,Other
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900,Other
Iceland,Historical,EV sales,Cars,PHEV,2018,Vehicles,2900,Other
Italy,Historical,EV sales,Cars,PHEV,2017,Vehicles,2900,Other
Switzerland,Historical,EV sales,Cars,PHEV,2016,Vehicles,2800,Other
Korea,Historical,EV sales,Cars,PHEV,2019,Vehicles,2700,Other
Turkiye,Historical,EV sales,Cars,PHEV,2023,Vehicles,2700,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2020,Vehicles,2700,Other
Finland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2600,Other
Belgium,Historical,EV sales,Cars,PHEV,2015,Vehicles,2500,Other
Central and South America,Historical,EV sales,Cars,PHEV,2020,Vehicles,2500,Other
Malaysia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2500,Other
Portugal,Historical,EV sales,Cars,PHEV,2017,Vehicles,2500,Other
Ireland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2500,Other
Canada,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400,Other
Colombia,Historical,EV sales,Cars,PHEV,2022,Vehicles,2400,Other
Iceland,Historical,EV sales,Cars,PHEV,2020,Vehicles,2400,Other
Iceland,Historical,EV sales,Cars,PHEV,2023,Vehicles,2400,Other
Switzerland,Historical,EV sales,Cars,PHEV,2015,Vehicles,2400,Other
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300,Other
Canada,Historical,EV sales,Cars,PHEV,2014,Vehicles,2300,Other
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200,Other
Iceland,Historical,EV sales,Cars,PHEV,2017,Vehicles,2200,Other
Slovakia,Historical,EV sales,Cars,PHEV,2024,Vehicles,2200,Other
Colombia,Historical,EV sales,Cars,PHEV,2024,Vehicles,2100,Other
France,Historical,EV sales,Cars,PHEV,2014,Vehicles,2100,Other
Mexico,Historical,EV sales,Cars,PHEV,2023,Vehicles,2100,Other
Central and South America,Historical,EV sales,Cars,PHEV,2019,Vehicles,2000,Other
Colombia,Historical,EV sales,Cars,PHEV,2023,Vehicles,2000,Other
Iceland,Historical,EV sales,Cars,PHEV,2019,Vehicles,2000,Other
Mexico,Historical,EV sales,Cars,PHEV,2020,Vehicles,2000,Other
Czech Republic,Historical,EV sales,Cars,PHEV,2020,Vehicles,2000,Other
Malaysia,Historical,EV sales,Cars,PHEV,2022,Vehicles,1900,Other
Malaysia,Historical,EV sales,Cars,PHEV,2023,Vehicles,1900,Other
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800,Other
Brazil,Historical,EV sales,Cars,PHEV,2020,Vehicles,1800,Other
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700,Other
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700,Other
Colombia,Historical,EV sales,Cars,PHEV,2021,Vehicles,1700,Other
Norway,Historical,EV sales,Cars,PHEV,2014,Vehicles,1700,Other
Lithuania,Historical,EV sales,Cars,PHEV,2024,Vehicles,1700,Other
Germany,Historical,EV sales,Cars,PHEV,2013,Vehicles,1600,Other
Iceland,Historical,EV sales,Cars,PHEV,2024,Vehicles,1600,Other
Mexico,Historical,EV sales,Cars,PHEV,2018,Vehicles,1600,Other
New Zealand,Historical,EV sales,Cars,PHEV,2019,Vehicles,1600,Other
Slovakia,Historical,EV sales,Cars,PHEV,2022,Vehicles,1600,Other
Canada,Historical,EV sales,Cars,PHEV,2013,Vehicles,1500,Other
Greece,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500,Other
Israel,Historical,EV sales,Cars,PHEV,2017,Vehicles,1500,Other
New Zealand,Historical,EV sales,Cars,PHEV,2020,Vehicles,1500,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2015,Vehicles,1500,Other
Spain,Historical,EV sales,Cars,PHEV,2016,Vehicles,1500,Other
Brazil,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400,Other
Mexico,Historical,EV sales,Cars,PHEV,2019,Vehicles,1400,Other
Croatia,Historical,EV sales,Cars,PHEV,2024,Vehicles,1400,Other
Canada,Historical,EV sales,Cars,PHEV,2012,Vehicles,1300,Other
Italy,Historical,EV sales,Cars,PHEV,2016,Vehicles,1300,Other
Malaysia,Historical,EV sales,Cars,PHEV,2024,Vehicles,1300,Other
Estonia,Historical,EV sales,Cars,PHEV,2024,Vehicles,1300,Other
Ireland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1300,Other
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200,Other
Finland,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200,Other
Germany,Historical,EV sales,Cars,PHEV,2012,Vehicles,1200,Other
New Zealand,Historical,EV sales,Cars,PHEV,2018,Vehicles,1200,Other
Poland,Historical,EV sales,Cars,PHEV,2019,Vehicles,1200,Other
Slovakia,Historical,EV sales,Cars,PHEV,2021,Vehicles,1200,Other
Slovenia,Historical,EV sales,Cars,PHEV,2023,Vehicles,1200,Other
Slovenia,Historical,EV sales,Cars,PHEV,2024,Vehicles,1200,Other
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100,Other
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100,Other
Chile,Historical,EV sales,Cars,PHEV,2024,Vehicles,1100,Other
Rest of the world,Historical,EV sales,Cars,PHEV,2016,Vehicles,1100,Other
Sweden,Historical,EV sales,Cars,PHEV,2013,Vehicles,1100,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2013,Vehicles,1100,Other
Hungary,Historical,EV sales,Cars,PHEV,2019,Vehicles,1100,Other
Lithuania,Historical,EV sales,Cars,PHEV,2023,Vehicles,1100,Other
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000,Other
Portugal,Historical,EV sales,Cars,PHEV,2016,Vehicles,1000,Other
Russia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1000,Other
Romania,Historical,EV sales,Cars,PHEV,2020,Vehicles,1000,Other
Croatia,Historical,EV sales,Cars,PHEV,2023,Vehicles,990,Other
Mexico,Historical,EV sales,Cars,PHEV,2017,Vehicles,970,Other
United Kingdom,Historical,EV sales,Cars,PHEV,2012,Vehicles,970,Other
Malaysia,Historical,EV sales,Cars,PHEV,2021,Vehicles,960,Other
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950,Other
Turkiye,Historical,EV sales,Cars,PHEV,2021,Vehicles,920,Other
Luxembourg,Historical,EV sales,Cars,PHEV,2019,Vehicles,910,Other
Russia,Historical,EV sales,Cars,PHEV,2019,Vehicles,900,Other
Slovakia,Historical,EV sales,Cars,PHEV,2020,Vehicles,860,Other
France,Historical,EV sales,Cars,PHEV,2013,Vehicles,850,Other
Croatia,Historical,EV sales,Cars,PHEV,2022,Vehicles,840,Other
Latvia,Historical,EV sales,Cars,PHEV,2024,Vehicles,800,Other
Iceland,Historical,EV sales,Cars,PHEV,2016,Vehicles,780,Other
Spain,Historical,EV sales,Cars,PHEV,2015,Vehicles,780,Other
Hungary,Historical,EV sales,Cars,PHEV,2018,Vehicles,770,Other
Poland,Historical,EV sales,Cars,PHEV,2018,Vehicles,760,Other
Central and South America,Historical,EV sales,Cars,PHEV,2018,Vehicles,740,Other
Italy,Historical,EV sales,Cars,PHEV,2015,Vehicles,740,Other
Russia,Historical,EV sales,Cars,PHEV,2021,Vehicles,740,Other
South Africa,Historical,EV sales,Cars,PHEV,2024,Vehicles,740,Other
Ireland,Historical,EV sales,Cars,PHEV,2018,Vehicles,740,Other
China,Historical,EV sales,Cars,PHEV,2013,Vehicles,730,Other
Russia,Historical,EV sales,Cars,PHEV,2020,Vehicles,710,Other
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700,Other
Korea,Historical,EV sales,Cars,PHEV,2017,Vehicles,670,Other
Lithuania,Historical,EV sales,Cars,PHEV,2022,Vehicles,670,Other
France,Historical,EV sales,Cars,PHEV,2012,Vehicles,660,Other
Sweden,Historical,EV sales,Cars,PHEV,2012,Vehicles,660,Other
Cyprus,Historical,EV sales,Cars,PHEV,2024,Vehicles,660,Other
Belgium,Historical,EV sales,Cars,PHEV,2014,Vehicles,650,Other
Poland,Historical,EV sales,Cars,PHEV,2017,Vehicles,640,Other
Denmark,Historical,EV sales,Cars,PHEV,2017,Vehicles,620,Other
Slovenia,Historical,EV sales,Cars,PHEV,2022,Vehicles,590,Other
Malaysia,Historical,EV sales,Cars,PHEV,2020,Vehicles,580,Other
Denmark,Historical,EV sales,Cars,PHEV,2016,Vehicles,570,Other
Estonia,Historical,EV sales,Cars,PHEV,2023,Vehicles,560,Other
New Zealand,Historical,EV sales,Cars,PHEV,2017,Vehicles,540,Other
Turkiye,Historical,EV sales,Cars,PHEV,2022,Vehicles,540,Other
